BI,BI_actual,Unnamed: 0,cashes,coef,item_info,link,player_part,sell_left,shit,stakeback,start_date,status,tournaments,usr_name
89.3,66.5,0,11.56,1.16,https://mttmarket.com/packets/item/561e207061ccb61b85da6e37,https://mttmarket.com/users/55673e9d0cf25c1c3c03cee9,20.0,0.0,,,15.10.2015,-54.94,13,multison375
141.4,128.6,1,86.93,1.15,https://mttmarket.com/packets/item/561f61c161ccb62184ebf5d9,https://mttmarket.com/users/5535460f0cf26d1eaea4774e,80.0,0.0,,,15.10.2015,-41.67,8,SkyWorker
138.1,111.1,2,6.13,1.15,https://mttmarket.com/packets/item/561f35bb61ccb620b2a629b2,https://mttmarket.com/users/55bcb12261ccb6022d3d2f10,50.0,0.0,,,15.10.2015,-104.97,8,serjvikt
305.1,248.99,3,185.26,1.17,https://mttmarket.com/packets/item/561f3e8061ccb62121e7d921,https://mttmarket.com/users/548484760cf24a5c0d9147ac,50.0,0.0,,,15.10.2015,-63.73,30,Bikk87
158.7,114.5,4,18.75,1.15,https://mttmarket.com/packets/item/561c9b8e61ccb6120b890a6a,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,50.0,0.0,,,15.10.2015,-95.75,19,bozhurin
127.8,100.51,5,110.93,1.16,https://mttmarket.com/packets/item/561e757c61ccb61d7330b6ff,https://mttmarket.com/users/55645da20cf25c1c3c0328bd,20.0,0.0,,,15.10.2015,10.42,16,helios
87.45,79.45,6,106.15,1.16,https://mttmarket.com/packets/item/561e2c8361ccb61bd6b11b7c,https://mttmarket.com/users/5587073c0cf2888715a24de1,25.0,0.0,,,15.10.2015,26.7,19,ATATA_R0MK0
251.87,205.39,7,76.65,1.04,https://mttmarket.com/packets/item/561dbd4461ccb61a0a883c16,https://mttmarket.com/users/55ae277361ccb6000f1fa24f,64.0,0.0,,,15.10.2015,-128.74,30,tuuuhuurbboooo
55.0,55.0,8,32.11,1.16,https://mttmarket.com/packets/item/5619fe7f61ccb604352755d2,https://mttmarket.com/users/558597c50cf2888715a16f85,50.0,0.0,,,15.10.2015,-22.89,12,SlavaSnigirev
248.5,222.5,9,295.29,1.16,https://mttmarket.com/packets/item/561f00f861ccb6206a2339da,https://mttmarket.com/users/536e2e620cf2586a08501922,40.0,0.0,,,15.10.2015,72.79,23,FILTH
514.5,486.5,10,912.34,1.16,https://mttmarket.com/packets/item/561d13eb61ccb61682fa44ef,https://mttmarket.com/users/54a2b47a0cf23c2fa9bd696d,50.0,0.0,,,15.10.2015,425.84,28,kyzyldurrr
236.55,209.15,11,1147.64,1.17,https://mttmarket.com/packets/item/561ec75361ccb61f688febc1,https://mttmarket.com/users/56024d5461ccb62671b9b284,25.0,0.0,,,15.10.2015,938.49,26,k king
136.15,113.8,12,64.67,1.15,https://mttmarket.com/packets/item/561ecb2961ccb61f7a85fac2,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,50.0,0.0,,,15.10.2015,-49.13,18,Shpocker
191.0,191.0,13,295.29,1.15,https://mttmarket.com/packets/item/561e771d61ccb61d8bf2d234,https://mttmarket.com/users/55de63d761ccb615db2fdcae,50.0,0.0,,,14.10.2015,104.29,2,chur
260.6,180.1,14,361.4,1.15,https://mttmarket.com/packets/item/561b100961ccb60b5b6cf4e7,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,50.0,0.0,,,14.10.2015,181.3,27,dmitry83
487.7,476.2,15,110.11,1.17,https://mttmarket.com/packets/item/561cf97c61ccb614996031bb,https://mttmarket.com/users/55de63d761ccb615db2fdcae,50.0,0.0,,,14.10.2015,-366.09,33,chur
291.28,240.16,16,170.67,1.18,https://mttmarket.com/packets/item/561de4b261ccb61a707e9342,https://mttmarket.com/users/53b101050cf2c8120d45c58c,50.0,0.0,,,14.10.2015,-69.49,22,rusxxxx
602.7,573.46,17,1380.38,1.18,https://mttmarket.com/packets/item/561e462761ccb61c53995e01,https://mttmarket.com/users/531082eb4700008946dc9eed,55.0,0.0,,,14.10.2015,806.92,23,Ugin
1392.13,1219.53,18,1422.26,1.19,https://mttmarket.com/packets/item/561e862e61ccb61df171293b,https://mttmarket.com/users/52b32f4b5a00006002eb24df,55.0,0.0,,,14.10.2015,202.73,26,NikAs
225.1,31.9,19,11.11,1.16,https://mttmarket.com/packets/item/561d1aae61ccb6171882c1f5,https://mttmarket.com/users/55673e9d0cf25c1c3c03cee9,20.0,0.0,,,14.10.2015,-20.79,33,multison375
56.95,14.3,20,33.07,1.18,https://mttmarket.com/packets/item/561d72e761ccb618eaa4732d,https://mttmarket.com/users/55dc7e4f61ccb6107dc36ba1,30.0,0.0,,,14.10.2015,18.77,12,shonix
11.15,10.4,21,4.21,1.15,https://mttmarket.com/packets/item/561d3f8761ccb617eb2a3d8e,https://mttmarket.com/users/55e3197c61ccb625c0411cef,50.0,0.0,,,14.10.2015,-6.19,5,matejvslo
164.7,157.9,22,438.91,1.17,https://mttmarket.com/packets/item/561e7f2061ccb61dd0437f89,https://mttmarket.com/users/5411d2b60cf22953036831e9,50.0,0.0,,,14.10.2015,281.01,22,silverbuttonlad
196.25,59.8,23,10.79,1.16,https://mttmarket.com/packets/item/561cef7261ccb613c4335740,https://mttmarket.com/users/557ec3370cf28887159e8407,30.0,0.0,,,14.10.2015,-49.01,34,petoose
331.55,170.4,24,35.81,1.16,https://mttmarket.com/packets/item/561e347961ccb61bd6b11b7d,https://mttmarket.com/users/55a78be60cf2c4481c7cae76,50.0,0.0,,,14.10.2015,-134.59,25,rodevisto
