Unnamed: 0,Unnamed: 0.1,link,usr_name,start_date,BI,tournaments,coef,stakeback,player_part,sell_left,status,item_info,shit,BI_actual,Cashes
573,2695,https://mttmarket.com/users/54eb6a500cf22b7780462624,managa,19.08.2015,686.75,28,1.16,,30.0,0.0,-54.6,https://mttmarket.com/packets/item/55d33e0961ccb61d983a5f51,,348.05,293.45
574,2696,https://mttmarket.com/users/553d123c0cf26d1eaea65028,IGOR1010,19.08.2015,101.95,20,1.15,,50.0,0.0,141.83,https://mttmarket.com/packets/item/55d33a3561ccb61d7959765a,,91.48,233.31
575,2697,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,19.08.2015,59.55,11,1.16,,50.0,0.0,92.31,https://mttmarket.com/packets/item/55d48acd61ccb62174a01b51,,59.55,151.86
576,2698,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,19.08.2015,383.65,17,1.15,,50.0,0.0,-208.0,https://mttmarket.com/packets/item/55d329f961ccb61d34f5ac5c,,343.57,135.57
577,2699,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,19.08.2015,838.3,30,1.17,,45.0,0.0,2003.45,https://mttmarket.com/packets/item/55d3e1f861ccb61fa1b4eadb,,695.8,2699.25
578,2780,https://mttmarket.com/users/54a1bc060cf23c2fa9bcedf8,pian76,18.08.2015,108.9,20,1.16,,40.0,0.0,-51.68,https://mttmarket.com/packets/item/55d2f72e61ccb61c41ae48b3,,62.3,10.62
579,2781,https://mttmarket.com/users/5563057d0cf25c1c3c02ed7b,iamhater,18.08.2015,101.1,19,1.16,,20.0,0.0,-65.7,https://mttmarket.com/packets/item/55d2634e61ccb61b3a53cc0d,,101.1,35.4
580,2782,https://mttmarket.com/users/543033f50cf2c31f2c2793a4,Noorgle,18.08.2015,1018.4,34,1.18,,50.0,0.0,-567.24,https://mttmarket.com/packets/item/55d188db61ccb617a0d28638,,851.57,284.33
581,2783,https://mttmarket.com/users/55b7638661ccb60110fb4be8,tomoto,18.08.2015,144.6,16,1.15,,20.0,0.0,-93.31,https://mttmarket.com/packets/item/55d1d0e161ccb618b5331e08,,144.6,51.29
582,2784,https://mttmarket.com/users/55891ffc0cf2888715a32b8e,Bekishev,18.08.2015,181.3,24,1.16,,30.0,0.0,-122.11,https://mttmarket.com/packets/item/55d1b1e061ccb61831d9e659,,150.6,28.49
583,2785,https://mttmarket.com/users/5531265c0cf26d1eaea394db,modu1us,18.08.2015,183.93,23,1.15,,40.0,0.0,-58.12,https://mttmarket.com/packets/item/55d0394361ccb613cde3c6fa,,157.6,99.48
584,2786,https://mttmarket.com/users/537b32d00cf2c8120d3e0cbf,drunkym0nkey,18.08.2015,208.41,13,1.17,,25.0,0.0,-147.65,https://mttmarket.com/packets/item/55d311c561ccb61c9c897133,,208.41,60.76
585,2787,https://mttmarket.com/users/556d90530cf2a06f774995f6,parfen1111,18.08.2015,103.6,10,1.16,,30.0,0.0,-40.37,https://mttmarket.com/packets/item/55d2039461ccb619b1f70fe6,,81.6,41.23
586,2788,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,18.08.2015,82.5,16,1.15,,25.0,0.0,371.64,https://mttmarket.com/packets/item/55d1badb61ccb6185c1767a3,,76.42,448.06
587,2789,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,18.08.2015,73.4,23,1.15,,20.0,0.0,-50.68,https://mttmarket.com/packets/item/55d1655361ccb6175f7841e9,,62.4,11.72
588,2790,https://mttmarket.com/users/54514df80cf24a5c0d830bce,MikleD,18.08.2015,1113.0,43,1.17,,45.0,0.0,-292.13,https://mttmarket.com/packets/item/55d1ad2961ccb618375826d0,,426.75,134.62
589,2791,https://mttmarket.com/users/55b1121561ccb60010e6dea0,beetle,18.08.2015,120.66,20,1.16,,30.0,0.0,-37.17,https://mttmarket.com/packets/item/55ccea4d61ccb60ad508e19c,,119.65,82.48
590,2792,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,18.08.2015,41.7,6,1.16,,50.0,0.0,-23.61,https://mttmarket.com/packets/item/55d2f68861ccb61c45f40136,,41.7,18.09
591,2793,https://mttmarket.com/users/55965ea00cf2d95aabafda28,ignatik,18.08.2015,128.2,27,1.16,,28.0,0.0,-90.42,https://mttmarket.com/packets/item/55d1a57761ccb617f8301afc,,115.7,25.28
592,2794,https://mttmarket.com/users/54e1bc920cf2d7cefd0a5e78,RaulandTotti,18.08.2015,18.97,10,1.17,,50.0,0.0,182.73,https://mttmarket.com/packets/item/55d21ab761ccb61a34f1493f,,11.27,194.0
593,2795,https://mttmarket.com/users/559d77630cf2d95aabb270cd,Bioinformix,18.08.2015,477.1,28,1.16,,30.0,0.0,-240.6,https://mttmarket.com/packets/item/55d1bbc661ccb6184ccc5424,,459.1,218.5
594,2796,https://mttmarket.com/users/556c52de0cf2a06f7748a51e,ndima,18.08.2015,79.84,8,1.16,,50.0,0.0,-61.79,https://mttmarket.com/packets/item/55d2db0261ccb61bf0b089e3,,78.85,17.06
595,2797,https://mttmarket.com/users/54e1f4000cf2aad4ad05324d,sabakabarabaka63,18.08.2015,393.8,25,1.17,,30.0,0.0,-40.62,https://mttmarket.com/packets/item/55d0bbce61ccb615cd0de651,,326.8,286.18
596,2798,https://mttmarket.com/users/55379e770cf26d1eaea5528c,dieselamq,18.08.2015,256.2,29,1.15,,50.0,0.0,341.54,https://mttmarket.com/packets/item/55d20d3961ccb619e096251d,,237.7,579.24
597,2799,https://mttmarket.com/users/53c6427b0cf25b8ee9711c18,stav_nuts,18.08.2015,282.6,18,1.17,,40.0,0.0,635.7,https://mttmarket.com/packets/item/55d22d8861ccb61a8beed607,,244.8,880.5
