Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
25,https://mttmarket.com/users/555c4f7a0cf2820a8e3cd56d,bleenk,-1578.86,5424.29,3845.43,-29.11,-26.81,252,21.52,19.84,7383.0,1924.22,11.46,4569.43,35.79,5.4,2365.0,425.17,17.31,-475.94,22.27,-1.16
26,https://mttmarket.com/users/545a67f70cf24a5c0d85e61f,Vzyatkov073,-349.63,3822.28,3472.65,-9.15,27.4,781,4.89,22.79,5043.0,2422.47,5.17,3715.84,32.67,14.25,559.0,437.1,6.05,-541.13,-12.23,-16.01
27,https://mttmarket.com/users/5386467f0cf2c8120d3fcdf1,check90,14788.65,60624.04,75412.69,24.39,24.21,1728,35.08,20.54,13148.0,1893.67,16.16,69855.92,47.77,32.89,2643.0,473.71,26.45,50532.46,66.3,72.29
28,https://mttmarket.com/users/52b32f4b5a00006002eb24df,NikAs,44494.65,365912.13,410406.78,12.16,22.32,6962,52.56,19.66,21621.0,1984.17,26.83,104930.76,50.66,18.09,2775.0,360.91,47.5,43439.94,47.58,32.96
29,https://mttmarket.com/users/5527c9b60cf28d50eba1fcc4,Bigluckpls,-1072.84,8553.51,7480.67,-12.54,-6.13,404,21.17,14.36,6788.0,882.75,17.5,26749.99,28.47,22.51,1655.0,226.95,17.4,2305.84,12.46,8.01
30,https://mttmarket.com/users/556eb6c90cf2a06f774a60ee,marat2302,262.42,2946.6,3209.02,8.91,1.65,407,7.24,19.66,4217.0,2547.7,5.39,6862.02,40.21,30.21,447.0,526.69,5.35,1026.94,29.69,42.93
31,https://mttmarket.com/users/54eee3a90cf22b7780472da2,AHTOCb,8847.37,23270.32,32117.69,38.02,56.15,1199,19.41,23.52,15470.0,2927.95,11.61,42196.73,45.52,23.49,3569.0,478.99,16.04,14508.04,35.9,25.35
32,https://mttmarket.com/users/559bf11d0cf2d95aabb1f1f7,KASMETKO,-1241.42,7103.11,5861.69,-17.48,-15.63,643,11.05,14.93,5212.0,4493.31,4.32,12026.11,54.82,53.4,282.0,316.33,11.1,730.8,21.06,23.35
33,https://mttmarket.com/users/54a2b47a0cf23c2fa9bd696d,kyzyldurrr,-2502.98,4529.7,2026.72,-55.26,-51.56,300,15.1,22.0,15702.0,1591.07,5.89,16066.62,20.1,17.37,2724.0,427.64,12.38,14138.87,27.65,41.91
34,https://mttmarket.com/users/532ca3935200008d4da9c533,OtDushi,26854.08,130127.28,156981.36,20.64,28.88,2823,46.1,20.33,4106.0,1395.05,28.51,29208.34,38.23,24.95,1089.0,314.89,49.57,-113.08,18.3,-0.21
